aa,Unnamed: 0,close,closeTime,high,ignore,low,numTrades,open,openTime,quoteAssetVolume,takerBuyBaseAssetVolume,takerBuyQuoteAssetVolume,volume,min5,min10,min30,1h,3h,BIAS5,BIAS10,index
0,179,171.42,1579281599999,171.54,0,171.34,64,171.34,1579281540000,147892.60257000002,663.818,113826.13839000001,862.515,171.39600000000002,171.23899999999998,170.60900000000007,170.61199999999988,168.49088888888886,0.0001400266050547999,0.0010570022016013385,0
1,180,171.42,1579281659999,171.43,0,171.0,136,171.42,1579281600000,226530.06959,248.887,42623.651439999994,1322.957,171.43400000000003,171.277,170.6243333333334,170.63016666666653,168.51944444444442,-8.166408063767061e-05,0.0008349048617152373,1
2,181,171.2,1579281719999,171.42,0,171.0,60,171.42,1579281660000,81229.60802,305.471,52347.00747,474.134,171.41200000000003,171.29199999999997,170.63700000000009,170.63883333333322,168.54633333333328,-0.001236786222668459,-0.0005370945519929976,2
3,182,170.85,1579281779999,171.12,0,170.76,119,171.11,1579281720000,181078.8693,65.88600000000001,11264.87008,1059.767,171.24800000000002,171.28699999999998,170.64066666666676,170.64033333333322,168.5715555555555,-0.00232411473418682,-0.002551273593442488,3
4,183,170.8,1579281839999,171.03,0,170.76,90,170.92,1579281780000,117147.41564,95.554,16328.81141,685.82,171.13800000000003,171.24399999999997,170.65433333333343,170.6468333333332,168.5976666666666,-0.0019750143159323014,-0.0025927915722592327,4
5,184,170.99,1579281899999,171.14,0,170.7,196,170.86,1579281840000,684870.55776,1386.671,236869.01561,4008.3709999999996,171.05200000000008,171.22399999999996,170.6800000000001,170.6483333333332,168.62505555555552,-0.0003624628767864079,-0.001366630846142784,5
6,185,171.13,1579281959999,171.13,0,170.89,65,170.99,1579281900000,49737.40597,164.324,28104.61899,290.836,170.99400000000009,171.21399999999994,170.7273333333334,170.65416666666653,168.65155555555552,0.0007953495444279351,-0.0004906140852964499,6
7,186,170.98,1579282019999,171.24,0,170.98,71,171.1,1579281960000,77512.78452,145.959,24981.78085,453.025,170.95000000000005,171.18099999999995,170.7663333333334,170.66416666666652,168.6770555555555,0.0001754899093298876,-0.0011741957343394712,7
8,187,171.01,1579282079999,171.11,0,170.93,78,171.06,1579282020000,99391.43213,133.68200000000002,22864.69115,581.175,170.98200000000003,171.11499999999995,170.8013333333334,170.67749999999987,168.70222222222216,0.00016375992794541626,-0.0006136224176720999,8
9,188,171.01,1579282139999,171.2,0,170.89,87,171.06,1579282080000,110158.03384,95.229,16295.93285,644.067,171.02400000000003,171.08099999999996,170.83500000000006,170.69099999999986,168.7285555555555,-8.185985592687823e-05,-0.00041500809558027803,9
10,189,170.89,1579282199999,171.13,0,170.85,51,171.01,1579282140000,26316.35003,21.635,3700.45819,153.94799999999998,171.00400000000005,171.02799999999993,170.86166666666674,170.7048333333332,168.75422222222215,-0.0006666510724898899,-0.0008068854222697361,10
